epoch,train_loss,train_accuracy,validation_loss,validation_accuracy
1,1.5279782659867231,0.33725490196078434,1.6318733453750611,0.2
2,1.243560974738177,0.5019607843137255,1.6745441595713297,0.2
3,1.1094000166537714,0.6352941176470588,1.703031301498413,0.2
4,0.9919722673939724,0.7137254901960784,1.5474299987157185,0.2
5,0.8951317181774214,0.7411764705882353,1.308996852238973,0.23333333333333334
6,0.839764619808571,0.8392156862745098,0.8690527677536011,0.7833333333333333
7,0.7239275869201212,0.8705882352941177,1.043863046169281,0.43333333333333335
8,0.6669454263705833,0.8941176470588236,0.6925474802652994,0.8
9,0.6189820630877626,0.8941176470588236,0.6591119050979615,0.7833333333333333
10,0.5037259050444061,0.9647058823529412,0.5912204345067342,0.8166666666666667
11,0.4286453466789395,0.9764705882352941,0.5539202888806661,0.85
12,0.40342150587661596,0.9647058823529412,0.6046149134635925,0.7833333333333333
13,0.34931887084362556,0.9764705882352941,0.39274274110794066,0.9666666666666667
14,0.2906488513245302,0.996078431372549,1.840774397055308,0.36666666666666664
15,0.24265656880303926,0.9882352941176471,0.35778311888376874,0.8166666666666667
16,0.20497389821445242,1.0,0.22478440602620442,1.0
17,0.19144804688060985,1.0,1.6412574172019958,0.4166666666666667
18,0.14399836478280087,1.0,0.21533877551555633,0.9833333333333333
19,0.12898587718898175,1.0,0.20968348383903504,0.95
20,0.11933546016613643,0.996078431372549,0.1405149002869924,1.0
21,0.12089414313143375,1.0,0.671478604276975,0.8
22,0.0996029312411944,1.0,0.0855364590883255,1.0
23,0.08319139533183154,1.0,0.07888255963722865,1.0
24,0.08540117407546324,1.0,0.15607906828324,0.9666666666666667
25,0.09295609897258235,0.996078431372549,0.898214058081309,0.6833333333333333
