epoch,train_loss,train_accuracy,validation_loss,validation_accuracy
1,1.4425309555871146,0.23883928571428573,1.3875101804733276,0.23958333333333334
2,1.3998594454356603,0.28794642857142855,1.4081601699193318,0.25
3,1.3856603077479772,0.27455357142857145,1.3910383780797322,0.21875
4,1.3894680397851127,0.27455357142857145,1.404262940088908,0.1875
5,1.3735520158495222,0.296875,1.4001039663950603,0.19791666666666666
6,1.3713656493595667,0.3080357142857143,1.396313746770223,0.2604166666666667
7,1.3599949990000044,0.30357142857142855,1.4141786495844524,0.3125
