epoch,train_loss,train_accuracy,validation_loss,validation_accuracy
1,1.6026051895959037,0.23214285714285715,1.4725394248962402,0.25
2,1.4293138555118017,0.26785714285714285,1.394227107365926,0.2916666666666667
3,1.29855101449149,0.38839285714285715,1.3923017581303914,0.28125
4,1.2729047451700484,0.3950892857142857,1.3321706453959148,0.375
5,1.0721530829157149,0.5133928571428571,1.5701791246732075,0.22916666666666666
6,1.0591530076095037,0.49107142857142855,1.291581670443217,0.3645833333333333
7,0.9344245578561511,0.5491071428571429,0.9078674912452698,0.5104166666666666
8,0.8603873295443398,0.6160714285714286,1.1047879656155903,0.5104166666666666
9,0.8427673067365374,0.609375,1.2111278374989827,0.46875
10,0.8543981696878161,0.5915178571428571,0.8422784606615702,0.625
11,0.741594923394067,0.65625,0.9809114535649618,0.5520833333333334
12,0.6897432250635964,0.6830357142857143,0.9937389294306437,0.5416666666666666
13,0.6428352743387222,0.6919642857142857,0.7801781892776489,0.5520833333333334
14,0.5850498037678855,0.7120535714285714,0.6447033733129501,0.7395833333333334
15,0.5604399761983326,0.7410714285714286,0.5837397774060568,0.7083333333333334
16,0.5990926495620182,0.7120535714285714,0.825686247398456,0.65625
17,0.4999006965330669,0.7834821428571429,0.6432357355952263,0.6979166666666666
18,0.47112695234162466,0.7611607142857143,0.6735247075557709,0.6770833333333334
19,0.4785937177283423,0.7991071428571429,0.7065237561861674,0.6145833333333334
20,0.5096877323729652,0.7589285714285714,0.5237690309683481,0.7395833333333334
21,0.5029480585030147,0.7678571428571429,0.7076973915100098,0.6770833333333334
22,0.4453704229422978,0.8058035714285714,0.6681993007659912,0.65625
23,0.46415153571537565,0.7924107142857143,0.6176358113686243,0.6979166666666666
24,0.4243138166410582,0.7946428571428571,0.7819859596590201,0.7395833333333334
25,0.4414532652923039,0.8102678571428571,0.46356750279664993,0.7083333333333334
26,0.48143279552459717,0.765625,0.6308260609706243,0.6875
27,0.4309759501899992,0.8125,0.5530930161476135,0.75
28,0.370577443923269,0.8459821428571429,0.5637938678264618,0.7604166666666666
29,0.4455762133002281,0.78125,0.6413882176081339,0.6979166666666666
30,0.38083498179912567,0.8392857142857143,0.4649324069420497,0.7916666666666666
31,0.3217254142676081,0.8683035714285714,0.3858657131592433,0.8125
32,0.31791391862290247,0.8683035714285714,0.3832457363605499,0.8645833333333334
33,0.3083930994783129,0.8839285714285714,0.41516080995400745,0.8125
34,0.32690791892153875,0.8571428571428571,0.3509438360730807,0.7916666666666666
35,0.29513624629804064,0.8727678571428571,0.34239816168944043,0.8333333333333334
36,0.2427532428077289,0.90625,0.4755251506964366,0.7604166666666666
37,0.2767163908907345,0.8973214285714286,0.36003929376602173,0.8125
38,0.248319610953331,0.8794642857142857,0.5467661408086618,0.8020833333333334
39,0.2126190492085048,0.9129464285714286,0.4350980520248413,0.7291666666666666
40,0.24087383172341756,0.9107142857142857,0.4061164620021979,0.8125
41,0.2542718318956239,0.8839285714285714,0.3306140601634979,0.8645833333333334
42,0.24807256194097654,0.8950892857142857,0.4367984930674235,0.8020833333333334
43,0.22419246126498496,0.9107142857142857,1.4502988358338673,0.65625
44,0.22001364561063902,0.8950892857142857,0.25572266429662704,0.8854166666666666
45,0.1884456021445138,0.9375,0.38986267646153766,0.8541666666666666
46,0.25096095725893974,0.8950892857142857,0.3440869487822056,0.84375
47,0.3073289011205946,0.8549107142857143,0.3507611155509949,0.8645833333333334
48,0.2210363479597228,0.9107142857142857,0.6149720052878062,0.75
49,0.1889464296400547,0.9285714285714286,0.2343013472855091,0.9166666666666666
50,0.16355879125850542,0.9352678571428571,0.25302696103851,0.90625
51,0.1506530802164759,0.9464285714285714,0.20806455363829932,0.90625
52,0.14849368802138738,0.9419642857142857,0.24654192725817362,0.8645833333333334
53,0.1538213975727558,0.9352678571428571,0.4692561961710453,0.8333333333333334
54,0.18663191316383226,0.9263392857142857,0.2999693701664607,0.8541666666666666
55,0.1714388807969434,0.921875,0.6466863056023916,0.7708333333333334
56,0.1639081064079489,0.9308035714285714,0.253997631991903,0.9166666666666666
57,0.15607080768261636,0.9508928571428571,0.7589190502961477,0.7291666666666666
58,0.19688603281974792,0.9263392857142857,0.5238096217314402,0.7708333333333334
59,0.19230261178953306,0.9308035714285714,0.3801284233729045,0.8645833333333334
60,0.11294649461550373,0.9598214285714286,0.23832011222839355,0.90625
61,0.12809710364256585,0.9575892857142857,0.14758501605441174,0.9583333333333334
62,0.10131455585360527,0.9709821428571429,0.2267896980047226,0.8958333333333334
63,0.10205101035535336,0.96875,0.17326830389599004,0.9375
64,0.14284991393131868,0.9486607142857143,0.16534878065188727,0.9166666666666666
65,0.09470475065921034,0.9732142857142857,0.19745749235153198,0.9270833333333334
66,0.09438311707760606,0.9709821428571429,0.17134065429369608,0.9583333333333334
67,0.10983311957014459,0.9620535714285714,0.5901534607013067,0.7604166666666666
68,0.12031128842915807,0.953125,0.1737625946601232,0.90625
69,0.10726536118558475,0.9598214285714286,0.2570279836654663,0.8958333333333334
70,0.09062748083046504,0.9665178571428571,0.23568828403949738,0.90625
